date,days,rate
01/17/2019,608,2.706529
01/17/2019,699,2.693616
01/17/2019,790,2.684838
01/17/2019,881,2.673712
01/17/2019,972,2.663726
01/17/2019,1063,2.655449
01/17/2019,1154,2.651258
01/17/2019,1245,2.648416
01/17/2019,1343,2.646841
01/17/2019,1434,2.64721
01/17/2019,1518,2.649501
01/17/2019,1616,2.653621
01/17/2019,1707,2.65867
01/17/2019,1798,2.664737
01/17/2019,1889,2.671918
01/17/2019,1980,2.679595
01/17/2019,2071,2.688145
01/17/2019,2162,2.697247
01/17/2019,2253,2.707037
01/17/2019,2344,2.716848
01/17/2019,2435,2.727242
01/17/2019,2526,2.737974
01/17/2019,2617,2.748835
01/17/2019,2708,2.759135
01/17/2019,2799,2.769256
01/17/2019,2890,2.779374
01/17/2019,2981,2.789487
01/17/2019,3072,2.7993
01/17/2019,3163,2.808837
01/17/2019,3254,2.817982
01/17/2019,3345,2.827861
01/17/2019,3443,2.838174
01/17/2019,3534,2.847652
01/17/2019,3625,2.85678
01/18/2019,7,2.439073
01/18/2019,31,2.538044
01/18/2019,33,2.546808
01/18/2019,61,2.635344
01/18/2019,89,2.664988
01/18/2019,117,2.680444
01/18/2019,152,2.696248
01/18/2019,180,2.709301
01/18/2019,243,2.725404
01/18/2019,334,2.741255
01/18/2019,425,2.756786
01/18/2019,516,2.755297
01/18/2019,607,2.74897
01/18/2019,698,2.739697
01/18/2019,789,2.733726
01/18/2019,880,2.724302
01/18/2019,971,2.715701
01/18/2019,1062,2.708142
01/18/2019,1153,2.704161
01/18/2019,1244,2.701499
01/18/2019,1342,2.700089
01/18/2019,1433,2.700276
01/18/2019,1517,2.702141
01/18/2019,1615,2.705816
01/18/2019,1706,2.710501
01/18/2019,1797,2.715987
01/18/2019,1888,2.722642
01/18/2019,1979,2.729842
01/18/2019,2070,2.737958
01/18/2019,2161,2.746661
01/18/2019,2252,2.756085
01/18/2019,2343,2.765363
01/18/2019,2434,2.775076
01/18/2019,2525,2.785177
01/18/2019,2616,2.79545
01/18/2019,2707,2.805202
01/18/2019,2798,2.81481
01/18/2019,2889,2.824447
01/18/2019,2980,2.834109
01/18/2019,3071,2.843497
01/18/2019,3162,2.852634
01/18/2019,3253,2.8614
01/18/2019,3344,2.870922
01/18/2019,3442,2.88087
01/18/2019,3533,2.890028
01/18/2019,3624,2.898853
01/22/2019,7,2.441561
01/22/2019,29,2.542099
01/22/2019,57,2.642889
01/22/2019,85,2.669777
01/22/2019,113,2.68334
01/22/2019,148,2.696496
01/22/2019,176,2.705782
01/22/2019,239,2.715103
01/22/2019,330,2.722879
01/22/2019,421,2.73056
01/22/2019,512,2.722086
01/22/2019,603,2.710089
01/22/2019,694,2.695956
01/22/2019,785,2.686267
01/22/2019,876,2.674405
01/22/2019,967,2.663828
01/22/2019,1058,2.654637
01/22/2019,1149,2.649296
01/22/2019,1240,2.645477
01/22/2019,1338,2.643005
01/22/2019,1429,2.642338
01/22/2019,1513,2.643788
01/22/2019,1611,2.647043
01/22/2019,1702,2.651382
01/22/2019,1793,2.656814
01/22/2019,1884,2.663666
01/22/2019,1975,2.671047
01/22/2019,2066,2.67933
01/22/2019,2157,2.688188
01/22/2019,2248,2.697958
01/22/2019,2339,2.707556
01/22/2019,2430,2.717566
01/22/2019,2521,2.727942
01/22/2019,2612,2.738472
01/22/2019,2703,2.748463
01/22/2019,2794,2.758294
01/22/2019,2885,2.76814
01/22/2019,2976,2.777999
01/22/2019,3067,2.787571
01/22/2019,3158,2.796882
01/22/2019,3249,2.805812
01/22/2019,3340,2.815489
01/22/2019,3438,2.825596
01/22/2019,3529,2.834893
01/22/2019,3620,2.843849
01/23/2019,7,2.447157
01/23/2019,28,2.530268
01/23/2019,56,2.638773
01/23/2019,84,2.669039
01/23/2019,112,2.684172
01/23/2019,147,2.698422
01/23/2019,175,2.709073
01/23/2019,238,2.721568
01/23/2019,329,2.733151
01/23/2019,420,2.744077
01/23/2019,511,2.73856
01/23/2019,602,2.72862
01/23/2019,693,2.716002
01/23/2019,784,2.706897
01/23/2019,875,2.695495
01/23/2019,966,2.685293
01/23/2019,1057,2.676414
01/23/2019,1148,2.671337
01/23/2019,1239,2.667747
01/23/2019,1337,2.665485
01/23/2019,1428,2.664989
01/23/2019,1512,2.666582
01/23/2019,1610,2.669983
01/23/2019,1701,2.674444
01/23/2019,1792,2.679986
01/23/2019,1883,2.686939
01/23/2019,1974,2.694411
01/23/2019,2065,2.702777
01/23/2019,2156,2.711924
01/23/2019,2247,2.721757
01/23/2019,2338,2.731412
01/23/2019,2429,2.741474
01/23/2019,2520,2.7519
01/23/2019,2611,2.762476
01/23/2019,2702,2.772509
01/23/2019,2793,2.78238
01/23/2019,2884,2.792263
01/23/2019,2975,2.802157
01/23/2019,3066,2.811762
01/23/2019,3157,2.821103
01/23/2019,3248,2.830062
01/23/2019,3339,2.839766
01/23/2019,3437,2.849901
01/23/2019,3528,2.859222
01/23/2019,3619,2.868201
01/24/2019,7,2.442182
01/24/2019,27,2.518649
01/24/2019,55,2.632464
01/24/2019,83,2.661809
01/24/2019,111,2.676349
01/24/2019,146,2.688937
01/24/2019,174,2.698731
01/24/2019,237,2.710005
01/24/2019,328,2.719243
01/24/2019,419,2.72775
01/24/2019,510,2.717947
01/24/2019,601,2.704249
01/24/2019,692,2.688194
01/24/2019,783,2.676455
01/24/2019,874,2.662441
01/24/2019,965,2.65012
01/24/2019,1056,2.639488
01/24/2019,1147,2.632942
01/24/2019,1238,2.627728
01/24/2019,1336,2.623969
01/24/2019,1427,2.622587
01/24/2019,1511,2.623457
01/24/2019,1609,2.626115
01/24/2019,1700,2.629962
01/24/2019,1791,2.634953
01/24/2019,1882,2.641409
01/24/2019,1973,2.648663
01/24/2019,2064,2.656831
01/24/2019,2155,2.665585
01/24/2019,2246,2.675056
01/24/2019,2337,2.684574
01/24/2019,2428,2.69451
01/24/2019,2519,2.704819
01/24/2019,2610,2.715286
01/24/2019,2701,2.725218
01/24/2019,2792,2.734994
01/24/2019,2883,2.744788
01/24/2019,2974,2.754599
01/24/2019,3065,2.764126
01/24/2019,3156,2.773393
01/24/2019,3247,2.782282
01/24/2019,3338,2.79192
01/24/2019,3436,2.801989
01/24/2019,3527,2.811252
01/24/2019,3618,2.820175
01/25/2019,7,2.435342
01/25/2019,26,2.511905
01/25/2019,54,2.624769
01/25/2019,82,2.655373
01/25/2019,110,2.671683
01/25/2019,145,2.686704
01/25/2019,173,2.697736
01/25/2019,236,2.712018
01/25/2019,327,2.726329
01/25/2019,418,2.73989
01/25/2019,509,2.736
01/25/2019,600,2.726416
01/25/2019,691,2.714051
01/25/2019,782,2.70515
01/25/2019,873,2.69338
01/25/2019,964,2.682881
01/25/2019,1055,2.673758
01/25/2019,1146,2.668484
01/25/2019,1237,2.664357
01/25/2019,1335,2.661602
01/25/2019,1426,2.66071
01/25/2019,1510,2.661982
01/25/2019,1608,2.665054
01/25/2019,1699,2.669245
01/25/2019,1790,2.674546
01/25/2019,1881,2.681282
01/25/2019,1972,2.688558
01/25/2019,2063,2.696747
01/25/2019,2154,2.705519
01/25/2019,2245,2.715212
01/25/2019,2336,2.724934
01/25/2019,2427,2.735059
01/25/2019,2518,2.745543
01/25/2019,2609,2.756173
01/25/2019,2700,2.766257
01/25/2019,2791,2.776175
01/25/2019,2882,2.786101
01/25/2019,2973,2.796037
01/25/2019,3064,2.80568
01/25/2019,3155,2.815058
01/25/2019,3246,2.824051
01/25/2019,3337,2.833788
01/25/2019,3435,2.843956
01/25/2019,3526,2.853306
01/25/2019,3617,2.862312
01/28/2019,7,2.439073
01/28/2019,23,2.502296
01/28/2019,51,2.625684
01/28/2019,79,2.655334
01/28/2019,107,2.669466
01/28/2019,142,2.682859
01/28/2019,170,2.692219
01/28/2019,233,2.704084
01/28/2019,324,2.715099
01/28/2019,415,2.726804
01/28/2019,506,2.722528
01/28/2019,597,2.712646
01/28/2019,688,2.700049
01/28/2019,779,2.690985
01/28/2019,870,2.679075
01/28/2019,961,2.668467
01/28/2019,1052,2.659258
01/28/2019,1143,2.653922
01/28/2019,1234,2.649744
01/28/2019,1332,2.647317
01/28/2019,1423,2.647015
01/28/2019,1507,2.648772
01/28/2019,1605,2.652349
01/28/2019,1696,2.656959
01/28/2019,1787,2.662638
01/28/2019,1878,2.669718
01/28/2019,1969,2.677307
01/28/2019,2060,2.685782
01/28/2019,2151,2.694817
